지역번호,지역명,일시,일조합(hr),일사합(MJ/m2)
0,전국,Oct-93,218.2,400.35
0,전국,Sep-93,202.7,452.96
0,전국,Aug-93,127.7,380.13
0,전국,Jul-93,128.6,414.09
0,전국,Jun-93,142.3,441.7
0,전국,May-93,225.4,555.75
0,전국,Apr-93,224.1,495.69
0,전국,Mar-93,194.3,411.76
0,전국,Feb-93,175.5,286.85
0,전국,Jan-93,145.2,224.14
0,전국,Dec-92,147,194.92
0,전국,Nov-92,165,243.22
0,전국,Oct-92,193.7,352.44
0,전국,Sep-92,158.6,372.2
0,전국,Aug-92,150.3,415.03
0,전국,Jul-92,184.5,477.04
0,전국,Jun-92,216.6,550.53
0,전국,May-92,238.2,564.26
0,전국,Apr-92,209,482.22
0,전국,Mar-92,148,342.3
0,전국,Feb-92,191.1,318.78
0,전국,Jan-92,149.1,229.54
