지역번호,지역명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속지점,최대순간풍속(m/s),최대순간풍속지점
0,전국, 2001-11,1.8,30.3,고산,34.2,고산
0,전국, 2001-10,1.6,24.1,고산,27.7,고산
0,전국, 2001-09,1.8,20.4,고산,24.4,"여수,고산"
0,전국, 2001-08,1.6,17.5,고산,24.7,흑산도
0,전국, 2001-07,1.7,17.5,흑산도,24.3,흑산도
0,전국, 2001-06,1.8,26.2,여수,35.7,여수
0,전국, 2001-05,2.1,18.9,고산,25.5,동해
0,전국, 2001-04,2.2,22.3,고산,28.5,흑산도
0,전국, 2001-03,2.6,29.7,고산,33.2,고산
0,전국, 2001-02,2,28.3,고산,32.4,고산
0,전국, 2001-01,2.3,31.7,고산,36.4,고산
0,전국, 2000-12,2,29,고산,33.2,고산
0,전국, 2000-11,1.8,25.8,고산,28.5,고산
0,전국, 2000-10,1.6,19.5,흑산도,25.1,흑산도
0,전국, 2000-09,2,27.6,고산,36.7,여수
0,전국, 2000-08,1.7,47.4,흑산도,58.3,흑산도
0,전국, 2000-07,1.9,24.2,대관령,35.8,대관령
0,전국, 2000-06,1.8,16.4,여수,20.2,부산
0,전국, 2000-05,2.1,18.8,고산,24.5,고산
0,전국, 2000-04,2.6,26.7,고산,29.6,고산
0,전국, 2000-03,2.6,22,고산,27.7,해남
0,전국, 2000-02,2.6,32.2,고산,39.3,고산
0,전국, 2000-01,2.3,22.4,고산,26.4,고산
0,전국, 1999-12,2.1,22.3,고산,29.5,고산
0,전국, 1999-11,1.8,23.3,고산,28.2,고산
0,전국, 1999-10,1.6,18.3,고산,26.8,고산
0,전국, 1999-09,1.8,18.5,고산,33.9,울릉도
0,전국, 1999-08,1.8,30.7,여수,46,완도
0,전국, 1999-07,2.1,23.3,흑산도,29.2,흑산도
0,전국, 1999-06,1.7,17.7,여수,23,"울릉도,울진"
0,전국, 1999-05,2.2,19.3,고산,27.5,추풍령
0,전국, 1999-04,2.4,23.3,고산,33.1,흑산도
0,전국, 1999-03,2.2,25.5,고산,30.2,고산
0,전국, 1999-02,2.5,28.8,고산,37.5,고산
0,전국, 1999-01,2.4,25.3,고산,31.4,서귀포
0,전국, 1998-12,1.9,23.7,고산,27.4,고산
0,전국, 1998-11,2,25.8,고산,29.7,군산
0,전국, 1998-10,1.7,23.3,흑산도,36.8,울릉도
0,전국, 1998-09,1.6,30,흑산도,42.1,흑산도
0,전국, 1998-08,1.7,21,여수,27.9,여수
0,전국, 1998-07,2.3,18.7,흑산도,31.2,대관령
0,전국, 1998-06,2,19.3,여수,33.4,통영
0,전국, 1998-05,1.9,20,"부산,통영,여수",29.6,통영
0,전국, 1998-04,2,19,고산,28.9,통영
0,전국, 1998-03,2.5,26,흑산도,34.1,흑산도
0,전국, 1998-02,2.3,22.3,고산,41,울진
0,전국, 1998-01,2.4,25,고산,35.2,영주
0,전국, 1997-12,1.9,22,흑산도,32.5,울진
0,전국, 1997-11,1.8,22.3,흑산도,34.2,흑산도
0,전국, 1997-10,2,21.7,흑산도,29.9,흑산도
0,전국, 1997-09,1.8,21.8,여수,29.8,고산
0,전국, 1997-08,1.8,21,흑산도,29.4,흑산도
0,전국, 1997-07,1.7,18.3,대관령,31.6,울릉도
0,전국, 1997-06,1.7,19.3,인천,32.5,철원
0,전국, 1997-05,2.2,20.8,부산,32,통영
0,전국, 1997-04,2.1,18.7,대관령,28,고산
0,전국, 1997-03,2.2,22.3,고산,33.5,고산
0,전국, 1997-02,2.2,24.5,고산,32.7,고산
0,전국, 1997-01,2.4,31.7,울진,51.9,울진
0,전국, 1996-12,1.8,27.3,고산,40,고산
0,전국, 1996-11,2,22.2,고산,31.3,군산
0,전국, 1996-10,1.7,18.3,고산,23.6,고산
0,전국, 1996-09,1.4,13.3,고산,22,춘천
0,전국, 1996-08,1.6,16.5,고산,20.6,고산
0,전국, 1996-07,1.9,17.8,인천,29.1,통영
0,전국, 1996-06,1.8,21,군산,34,제주
0,전국, 1996-05,1.9,19.8,고산,34,울진
0,전국, 1996-04,2.5,21.7,"부산,고산",28.7,통영
0,전국, 1996-03,2.4,19,고산,27.5,대관령
