시점,월별,소계,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,소계,디프테리아,백일해,파상풍,홍역,유행성이하선염,풍진,폴리오,B형간염(급성),B형간염(산모),B형간염(주산기),일본뇌염,수두,b형헤모필루스인플루엔자,폐렴구균,소계,말라리아,성홍열,수막구균성수막염,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,탄저,공수병,신증후군출혈열,매독(1기),매독(2기),매독(선천성),크로이츠펠트-야콥병(CJD),결핵,한센병,후천성면역결핍증,C형간염,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균속균종(CRE) 감염증,소계,페스트,황열,뎅기열,바이러스성출혈열,두창,보툴리눔독소증,중증급성호흡기증후군(SARS),동물인플루엔자 인체감염증,신종인플루엔자,야토병,큐열,웨스트나일열,신종감염병증후군,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군,중동호흡기증후군,지카바이러스감염증,리슈마니아증,바베시아증,크립토스포리디움증,주혈흡충증
2004,3월,34,1,17,6,10,0,-,98,0,0,1,0,96,1,0,-,-,-,0,-,-,-,-,4,6,1,0,0,0,0,2,0,1,0,0,5,-,-,-,-,"2,674",5,-,-,-,-,0,0,0,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2004,4월,48,0,17,1,29,1,-,132,0,0,3,1,125,3,0,-,-,-,0,-,-,-,-,19,5,0,0,0,0,0,2,1,0,0,0,8,-,-,-,-,"2,608",5,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2004,5월,98,0,21,3,73,1,-,226,0,0,2,4,219,1,0,-,-,-,0,-,-,-,-,42,5,0,0,0,0,0,6,1,3,0,1,17,-,-,-,-,"2,526",2,-,-,-,-,0,0,0,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2004,6월,25,1,15,1,4,4,-,282,0,0,0,3,276,3,0,-,-,-,0,-,-,-,-,141,6,0,1,1,0,2,6,5,7,0,0,10,-,-,-,-,"3,134",5,-,-,-,-,0,0,0,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2004,7월,110,5,20,4,6,75,-,229,0,0,1,0,227,1,0,-,-,-,0,-,-,-,-,211,3,0,1,8,0,0,0,3,8,0,0,15,-,-,-,-,"2,897",4,-,-,-,-,3,0,0,1,-,0,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,1,0,0,0
2004,8월,57,2,8,5,12,30,-,95,0,2,1,0,92,0,0,-,-,-,0,-,-,-,-,214,3,1,0,10,0,0,6,13,4,0,0,10,-,-,-,-,"2,862",7,-,-,-,-,5,0,0,5,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2004,9월,21,0,8,5,2,6,-,106,0,1,1,0,104,0,0,-,-,-,0,-,-,-,-,126,2,1,4,25,0,1,14,10,2,0,0,13,-,-,-,-,"2,301",4,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2004,10월,25,0,10,5,9,1,-,155,0,1,0,0,151,3,0,-,-,-,0,-,-,-,-,76,11,0,1,11,0,10,"1,829",71,7,0,0,96,-,-,-,-,"2,487",3,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2004,11월,150,0,10,5,135,0,-,126,0,1,1,0,122,2,0,-,-,-,0,-,-,-,-,13,16,0,0,1,0,5,"2,667",32,6,0,0,150,-,-,-,-,"2,641",1,-,-,-,-,7,0,0,4,-,0,3,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2004,12월,210,1,16,3,190,0,-,194,0,0,1,1,191,1,0,-,-,-,0,-,-,-,-,5,11,2,0,1,0,1,158,4,7,0,0,55,-,-,-,-,"2,707",2,-,-,-,-,2,0,0,2,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2005,계,597,16,190,31,317,43,-,"3,844",0,11,11,7,"1,863",12,0,-,-,-,6,"1,934",-,-,"44,990","1,369",87,7,6,57,0,35,"6,780",83,158,0,0,421,-,-,-,-,"35,269",38,680,-,-,-,36,0,0,34,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,1,1,0
2005,1월,32,1,18,5,8,0,-,75,0,1,0,0,73,1,0,-,-,-,0,0,-,-,-,6,9,2,1,0,0,0,10,1,14,0,0,24,-,-,-,-,"2,312",5,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2005,2월,39,0,13,3,22,1,-,49,0,0,0,0,49,0,0,-,-,-,0,0,-,-,-,5,10,0,0,0,0,1,2,0,6,0,0,7,-,-,-,-,"1,885",1,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2005,3월,29,0,17,4,6,2,-,119,0,1,1,0,116,1,0,-,-,-,0,0,-,-,-,12,6,1,1,0,0,0,0,0,11,0,0,10,-,-,-,-,"2,610",2,-,-,-,-,0,0,0,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2005,4월,62,0,19,4,38,1,-,202,0,5,2,0,195,0,0,-,-,-,0,0,-,-,-,21,7,0,3,0,0,0,3,0,15,0,0,10,-,-,-,-,"2,533",8,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2005,5월,42,0,29,1,10,2,-,239,0,1,0,0,238,0,0,-,-,-,0,0,-,-,-,49,10,1,0,0,0,2,4,2,11,0,0,11,-,-,-,-,"2,568",1,-,-,-,-,2,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,1,0
2005,6월,45,0,15,1,20,9,-,196,0,0,2,1,191,2,0,-,-,-,0,0,-,-,-,133,7,1,0,3,0,0,9,0,20,0,0,11,-,-,-,-,"2,641",3,-,-,-,-,4,0,0,4,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2005,7월,36,1,15,2,7,11,-,164,0,0,2,0,153,2,0,-,-,-,0,7,-,-,-,295,9,0,0,10,0,0,7,0,19,0,0,7,-,-,-,-,"2,735",6,-,-,-,-,7,0,0,6,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,1,0,0
2005,8월,49,8,11,5,19,6,-,101,0,0,2,1,94,0,0,-,-,-,0,4,-,-,-,398,7,1,0,16,0,0,5,4,11,0,0,7,-,-,-,-,"3,382",1,-,-,-,-,7,0,0,7,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2005,9월,34,1,19,0,10,4,-,90,0,2,0,1,76,4,0,-,-,-,3,4,-,-,-,256,4,0,0,21,0,1,24,16,19,0,0,21,-,-,-,-,"5,284",3,-,-,-,-,6,0,0,6,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2005,10월,59,0,12,3,40,4,-,224,0,1,0,1,179,1,0,-,-,-,2,40,-,-,-,154,3,0,0,4,0,16,"2,159",21,10,0,0,86,-,-,-,-,"3,491",3,-,-,-,-,5,0,0,5,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2005,11월,74,2,14,0,55,3,-,858,0,0,1,2,259,1,0,-,-,-,1,594,-,-,-,34,6,0,0,3,0,14,"4,167",36,12,0,0,155,-,-,-,-,"2,920",3,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2005,12월,96,3,8,3,82,0,-,"1,527",0,0,1,1,240,0,0,-,-,-,0,"1,285",-,-,-,6,9,1,1,0,0,1,390,3,10,0,0,72,-,-,-,-,"2,908",2,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2006,계,681,5,200,50,389,37,-,"13,189",0,17,10,28,"2,089",18,0,-,-,-,0,"11,027",-,-,"45,753","2,051",108,11,20,88,0,73,"6,480",119,215,0,0,422,-,-,-,-,"35,361",56,749,-,-,-,41,0,0,35,-,0,0,0,0,-,0,6,-,0,-,-,-,-,-,-,-,0,0,0,0
2006,1월,27,2,8,2,13,2,-,878,0,0,0,0,89,0,0,-,-,-,0,789,-,-,-,9,3,1,0,0,0,2,11,1,9,0,0,24,-,-,-,-,"2,938",3,-,-,-,-,1,0,0,1,-,0,0,0,0,-,0,0,-,0,-,-,-,-,-,-,-,0,0,0,0
2006,2월,50,3,16,5,25,1,-,540,0,0,1,1,65,1,0,-,-,-,0,472,-,-,-,3,4,1,1,0,0,1,3,0,3,0,0,10,-,-,-,-,"2,823",4,-,-,-,-,3,0,0,2,-,0,0,0,0,-,0,1,-,0,-,-,-,-,-,-,-,0,0,0,0
